2018-02-26 09:58:40,947 DEBUG    [9055] (deoplete.child) Loaded Filter: sorter_rank (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/sorter_rank.py)
2018-02-26 09:58:40,947 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,947 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,947 DEBUG    [9055] (deoplete.child) Loaded Filter: matcher_fuzzy (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/matcher_fuzzy.py)
2018-02-26 09:58:40,947 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,948 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,948 DEBUG    [9055] (deoplete.child) Loaded Filter: matcher_head (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/matcher_head.py)
2018-02-26 09:58:40,948 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,948 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,951 DEBUG    [9055] (deoplete.child) Loaded Filter: converter_truncate_menu (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_truncate_menu.py)
2018-02-26 09:58:40,951 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,951 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,952 DEBUG    [9055] (deoplete.child) Loaded Filter: converter_truncate_abbr (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_truncate_abbr.py)
2018-02-26 09:58:40,952 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,952 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,952 DEBUG    [9055] (deoplete.child) Loaded Filter: matcher_full_fuzzy (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/matcher_full_fuzzy.py)
2018-02-26 09:58:40,952 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,952 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,953 DEBUG    [9055] (deoplete.child) Loaded Filter: sorter_word (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/sorter_word.py)
2018-02-26 09:58:40,953 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,953 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,954 DEBUG    [9055] (deoplete.child) Loaded Filter: converter_auto_delimiter (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_auto_delimiter.py)
2018-02-26 09:58:40,954 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,954 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,956 DEBUG    [9055] (deoplete.child) Loaded Filter: matcher_length (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/matcher_length.py)
2018-02-26 09:58:40,957 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,957 DEBUG    [9055] (deoplete.child) main_loop: add_filter begin
2018-02-26 09:58:40,957 DEBUG    [9055] (deoplete.child) Loaded Filter: converter_remove_overlap (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_remove_overlap.py)
2018-02-26 09:58:40,958 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,958 DEBUG    [9055] (deoplete.child) main_loop: on_event begin
2018-02-26 09:58:40,958 DEBUG    [9055] (deoplete.child) on_init Source: file
2018-02-26 09:58:40,958 DEBUG    [9055] (deoplete.child) on_event: Source: file
2018-02-26 09:58:40,969 DEBUG    [9055] (deoplete.child) on_event: Source: file/include
2018-02-26 09:58:40,969 DEBUG    [9055] (deoplete.child) main_loop: end
2018-02-26 09:58:40,970 INFO     [9059] (deoplete.logging) --- Deoplete Log Start ---
2018-02-26 09:58:40,970 INFO     [9059] (deoplete.logging) NVIM v0.2.2, Python 3.6.4, neovim client 0.2.1.dev0
2018-02-26 09:58:40,974 DEBUG    [9059] (deoplete.child) main_loop: end
2018-02-26 09:58:40,974 DEBUG    [9059] (deoplete.child) main_loop: add_source begin
2018-02-26 09:58:40,975 DEBUG    [9059] (deoplete.child) Loaded Source: around (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/around.py)
2018-02-26 09:58:40,975 DEBUG    [9059] (deoplete.child) main_loop: end
2018-02-26 09:58:40,975 DEBUG    [9059] (deoplete.child) main_loop: add_source begin
2018-02-26 09:58:40,976 DEBUG    [9059] (deoplete.child) Loaded Source: omni (/home/delusional/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/omni.py)
2018-02-26 09:58:40,976 DEBUG    [9059] (deoplete.child) main_loop: end
2018-02-26 09:58:40,976 DEBUG    [9059] (deoplete.child) main_loop: add_source begin
2018-02-26 09:58:40,988 DEBUG    [9059] (deoplete.child) Loaded Source: clang (/home/delusional/.vim/plugged/deoplete-clang/rplugin/python3/deoplete/sources/deoplete_clang.py)
2018-02-26 09:58:40,989 DEBUG    [9059] (deoplete.child) main_loop: end
